"ID","START_TIME","END_TIME","SOURCE_NAME","SOURCE_INFO","COST_TYPE","ADS_TYPE","COST_MONEY","GAME_ID"
"11584","2015-1-10","","qmqj_baidu06","","预付费","CPC-点击","522.44","623"
"11587","2015-1-10","","qnpkq_shichang08","","预付费","CPC-点击","585.77","558"
"11594","2015-1-10","","qmqj_baidu07","","预付费","CPC-点击","150.17","623"
"11582","2015-1-10","","jzsc_baidu09","","预付费","CPC-点击","2018.84","685"
"11585","2015-1-10","","jzsc_shichang06","","预付费","CPC-点击","915","685"
"11589","2015-1-10","","qmqj_baidu08","","预付费","CPC-点击","2322.89","623"
"11591","2015-1-10","","ldxy_shichang06","","预付费","CPC-点击","1511.13","673"
"11599","2015-1-10","","ldxy_shichang01","","预付费","CPC-点击","3258.39","673"
"11600","2015-1-10","","jzsc_shichang01","","预付费","CPC-点击","1481.63","685"
"11612","2015-1-10","","dtcq_mzzy01","","预付费","CPC-点击","4785.07","481"
"11613","2015-1-10","","ldxy_shichang04","","预付费","CPC-点击","646.97","673"
"11614","2015-1-10","","jzsc_mzzy01","","预付费","CPC-点击","4837.79","685"
"11615","2015-1-10","","yxzj_mzzy01","","预付费","CPC-点击","211.18","679"
"11616","2015-1-10","","ldxy_mzzy01","","预付费","CPC-点击","4741.88","673"
"11617","2015-1-10","","jzsc_shichang04","","预付费","CPC-点击","1797.08","685"
"11618","2015-1-10","","kdzt_mzzy01","","预付费","CPC-点击","257.02","703"
"11619","2015-1-10","","jzsc_mzzy03","","预付费","CPC-点击","260.15","685"
"11620","2015-1-10","","yxzj_mzzy04","","预付费","CPC-点击","51.33","679"
"11621","2015-1-10","","wmncq_mzzy04","","预付费","CPC-点击",".61","2774"
"11681","2015-1-10","","gwlrdsl_shichang01","","预付费","CPC-点击","0","2784"
"11588","2015-1-11","","qnpkq_shichang08","","预付费","CPC-点击","602.95","558"
"11581","2015-1-11","","jzsc_baidu09","","预付费","CPC-点击","1469.53","685"
"11586","2015-1-11","","jzsc_shichang06","","预付费","CPC-点击","780.16","685"
"11590","2015-1-11","","qmqj_baidu08","","预付费","CPC-点击","2050.22","623"
"11592","2015-1-11","","ldxy_shichang06","","预付费","CPC-点击","1569.94","673"
"11593","2015-1-11","","qmqj_baidu07","","预付费","CPC-点击","164.34","623"
"11601","2015-1-11","","ldxy_shichang01","","预付费","CPC-点击","3351.4","673"
"11602","2015-1-11","","jzsc_shichang01","","预付费","CPC-点击","1421.76","685"
"11604","2015-1-11","","dtcq_mzzy01","","预付费","CPC-点击","2590.76","481"
"11605","2015-1-11","","jzsc_mzzy01","","预付费","CPC-点击","4637.25","685"
"11607","2015-1-11","","yxzj_mzzy01","","预付费","CPC-点击","237.77","679"
"11608","2015-1-11","","ldxy_mzzy01","","预付费","CPC-点击","3785.23","673"
"11609","2015-1-11","","kdzt_mzzy01","","预付费","CPC-点击","258.74","703"
"11610","2015-1-11","","jzsc_mzzy03","","预付费","CPC-点击","256.62","685"
"11611","2015-1-11","","yxzj_mzzy04","","预付费","CPC-点击","48.2","679"
"11622","2015-1-11","","ldxy_shichang04","","预付费","CPC-点击","722.99","673"
"11623","2015-1-11","","jzsc_shichang04","","预付费","CPC-点击","2412.68","685"
"11642","2015-1-11","","gwlrdsl_mzzy02","","预付费","CPC-点击","0","2784"
"11643","2015-1-11","","gwlrdsl_mzzy03","","预付费","CPC-点击","0","2784"
"11644","2015-1-11","","gwlrdsl_mzzy04","","预付费","CPC-点击","0","2784"
"11645","2015-1-11","","jzsc_mzzy06","","预付费","CPT-硬广","0","685"
"11583","2015-1-11","","qmqj_baidu06","","预付费","CPC-点击","563.15","623"
"11641","2015-1-11","","gwlrdsl_mzzy01","","预付费","CPC-点击","0","2784"
"11662","2015-1-12","","qmqj_baidu08","","预付费","CPC-点击","1854.59","623"
"11663","2015-1-12","","qnpkq_shichang08","","预付费","CPC-点击","450.64","558"
"11664","2015-1-12","","ldxy_shichang06","","预付费","CPC-点击","1184.54","673"
"11665","2015-1-12","","jzsc_baidu09","","预付费","CPC-点击","837.36","685"
"11666","2015-1-12","","qmqj_baidu06","","预付费","CPC-点击","492.09","623"
"11667","2015-1-12","","dtcq_mzzy01","","预付费","CPC-点击","1163.63","481"
"11668","2015-1-12","","jzsc_mzzy01","","预付费","CPC-点击","3406.3","685"
"11669","2015-1-12","","yxzj_mzzy01","","预付费","CPC-点击","160.76","679"
"11670","2015-1-12","","ldxy_mzzy01","","预付费","CPC-点击","2258.94","673"
"11674","2015-1-12","","yxzj_mzzy04","","预付费","CPC-点击","34.93","679"
"11675","2015-1-12","","ldxy_shichang01","","预付费","CPC-点击","3218.08","673"
"11676","2015-1-12","","jzsc_shichang01","","预付费","CPC-点击","1754.31","685"
"11677","2015-1-12","","ldxy_shichang04","","预付费","CPC-点击","936.13","673"
"11661","2015-1-12","","jzsc_shichang06","","预付费","CPC-点击","749.64","685"
"11671","2015-1-12","","qmqj_baidu07","","预付费","CPC-点击","185.41","623"
"11672","2015-1-12","","kdzt_mzzy01","","预付费","CPC-点击","196.76","703"
"11673","2015-1-12","","jzsc_mzzy03","","预付费","CPC-点击","107.45","685"
"11678","2015-1-12","","jzsc_shichang04","","预付费","CPC-点击","867.43","685"
"11729","2015-1-13","","smjt_mzzy02","","预付费","CPC-点击","0","752"
